PT,HLT,HLGT,SOC_ABBREV
Rales,Lower respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Rash vesicular,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
Respiratory alkalosis,Conditions associated with abnormal gas exchange,Respiratory disorders NEC,Resp
Respiratory rate increased,Physical examination procedures and organ system status,Physical examination and organ system status topics,Inv
Suprapubic pain,Pain and discomfort NEC,General system disorders NEC,Genrl
Still's disease,Rheumatoid arthropathies,Joint disorders,Musc
Synovitis,Synovial disorders,Synovial and bursal disorders,Musc
Swollen tongue,Tongue signs and symptoms,Tongue conditions,Gastr
Tonsillar hypertrophy,Pharyngeal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Somnolence,Disturbances in consciousness NEC,Neurological disorders NEC,Nerv
Vitreous floaters,"Choroid and vitreous structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye
Alpha 1 foetoprotein abnormal,Protein analyses NEC,Protein and chemistry analyses NEC,Inv
Alpha 1 foetoprotein increased,Protein analyses NEC,Protein and chemistry analyses NEC,Inv
Hypoxia,Conditions associated with abnormal gas exchange,Respiratory disorders NEC,Resp
Tachypnoea,Breathing abnormalities,Respiratory disorders NEC,Resp
Traumatic lung injury,Chest and respiratory tract injuries NEC,Injuries NEC,Inj&P
Gallbladder disorder,Gallbladder disorders NEC,Gallbladder disorders,Hepat
Ileus,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal stenosis and obstruction,Gastr
Multiple organ dysfunction syndrome,General signs and symptoms NEC,General system disorders NEC,Genrl
Severe acute respiratory syndrome,Coronavirus infections,Viral infectious disorders,Infec
Arthritis,Arthropathies NEC,Joint disorders,Musc
Nephrolithiasis,Renal lithiasis,Urolithiases,Renal
Cerebrovascular accident,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nerv
Cardiomyopathy,Cardiomyopathies,Myocardial disorders,Card
Laboratory test abnormal,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Tuberculosis,Tuberculous infections,Mycobacterial infectious disorders,Infec
Strongyloidiasis,Nematode infections,Helminthic disorders,Infec
Drug level increased,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Inv
Neurotoxicity,Nervous system disorders NEC,Neurological disorders NEC,Nerv
Guillain-Barre syndrome,Acute polyneuropathies,Peripheral neuropathies,Nerv
Skin lesion,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Blood creatine phosphokinase decreased,Skeletal and cardiac muscle analyses,Enzyme investigations NEC,Inv
Arrhythmia,Rate and rhythm disorders NEC,Cardiac arrhythmias,Card
Exposure during pregnancy,"Exposures associated with pregnancy, delivery and lactation","Exposures, chemical injuries and poisoning",Inj&P
Heart rate irregular,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Loss of consciousness,Disturbances in consciousness NEC,Neurological disorders NEC,Nerv
Eye swelling,Ocular disorders NEC,Eye disorders NEC,Eye
Blood bicarbonate decreased,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Inv
Acute hepatic failure,Hepatic failure and associated disorders,Hepatic and hepatobiliary disorders,Hepat
Yellow skin,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Amylase increased,Digestive enzymes,Gastrointestinal investigations,Inv
Depressed mood,Mood alterations with depressive symptoms,Depressed mood disorders and disturbances,Psych
Alcohol intolerance,Food malabsorption and intolerance syndromes (excl sugar intolerance),Food intolerance syndromes,Metab
Ischaemic stroke,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nerv
Heart rate decreased,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Lip and/or oral cavity cancer,Lip and oral cavity neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Sensory loss,Sensory abnormalities NEC,Neurological disorders NEC,Nerv
Angina pectoris,Ischaemic coronary artery disorders,Coronary artery disorders,Card
Cardiovascular disorder,Cardiac disorders NEC,"Cardiac disorders, signs and symptoms NEC",Card
Lymphoma,Lymphomas unspecified NEC,Lymphomas NEC,Neopl
Pancreatitis acute,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastr
Intestinal perforation,Intestinal ulcers and perforation NEC,Gastrointestinal ulceration and perforation,Gastr
Sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infec
Congenital anomaly,Congenital disorders NEC,Congenital and hereditary disorders NEC,Cong
Intentional overdose,Overdoses NEC,Overdoses and underdoses NEC,Inj&P
Escherichia sepsis,Escherichia infections,Bacterial infectious disorders,Infec
Glomerular filtration rate decreased,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
Chronic kidney disease,Renal failure and impairment,Renal disorders (excl nephropathies),Renal
Bacteraemia,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infec
Abortion induced,Induced abortions,Obstetric and gynaecological therapeutic procedures,Surg
Acute myocardial infarction,Ischaemic coronary artery disorders,Coronary artery disorders,Card
Papule,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Adverse drug reaction,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
Candida infection,Candida infections,Fungal infectious disorders,Infec
Neutrophil count increased,White blood cell analyses,Haematology investigations (incl blood groups),Inv
Toxicity to various agents,Poisoning and toxicity,"Exposures, chemical injuries and poisoning",Inj&P
Ultrasound scan abnormal,Imaging procedures NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Epilepsy,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
Colitis microscopic,Colitis (excl infective),Gastrointestinal inflammatory conditions,Gastr
Portal vein thrombosis,Hepatic vascular disorders,Hepatic and hepatobiliary disorders,Hepat
Cardiac ventricular thrombosis,Cardiac disorders NEC,"Cardiac disorders, signs and symptoms NEC",Card
Eye irritation,"Ocular infections, inflammations and associated manifestations","Ocular infections, irritations and inflammations",Eye
Cushing's syndrome,Adrenal cortical hyperfunctions,Adrenal gland disorders,Endo
Overweight,General nutritional disorders NEC,Appetite and general nutritional disorders,Metab
Myocardial ischaemia,Ischaemic coronary artery disorders,Coronary artery disorders,Card
Breast tenderness,Breast signs and symptoms,Breast disorders,Repro
Viral load increased,Virus identification and serology,Microbiology and serology investigations,Inv
Blood immunoglobulin E increased,Immunoglobulin analyses,Immunology and allergy investigations,Inv
Cachexia,General nutritional disorders NEC,Appetite and general nutritional disorders,Metab
Chromaturia,Urinary abnormalities,Urinary tract signs and symptoms,Renal
Disease recurrence,General signs and symptoms NEC,General system disorders NEC,Genrl
Hepatic encephalopathy,Encephalopathies toxic and metabolic,Encephalopathies,Nerv
Hyperlipidaemia,Hyperlipidaemias NEC,Lipid metabolism disorders,Metab
Myopathy,Myopathies,Muscle disorders,Musc
Ocular icterus,Cholestasis and jaundice,Hepatic and hepatobiliary disorders,Hepat
Transplant dysfunction,Transplantation complications,Procedural related injuries and complications NEC,Inj&P
Transplant rejection,Transplant rejections,Immune disorders NEC,Immun
Effusion,General signs and symptoms NEC,General system disorders NEC,Genrl
Haemoglobin decreased,Red blood cell analyses,Haematology investigations (incl blood groups),Inv
Musculoskeletal stiffness,Musculoskeletal and connective tissue conditions NEC,Musculoskeletal and connective tissue disorders NEC,Musc
Night sweats,Apocrine and eccrine gland disorders,Skin appendage conditions,Skin
Red blood cell sedimentation rate increased,Haematological analyses NEC,Haematology investigations (incl blood groups),Inv
Serum ferritin increased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Transaminases increased,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Focal segmental glomerulosclerosis,Glomerulonephritis and nephrotic syndrome,Nephropathies,Renal
Live birth,"Normal pregnancy, labour and delivery","Pregnancy, labour, delivery and postpartum conditions",Preg
Pregnancy,"Normal pregnancy, labour and delivery","Pregnancy, labour, delivery and postpartum conditions",Preg
CD4 lymphocytes decreased,White blood cell analyses,Haematology investigations (incl blood groups),Inv
CD8 lymphocytes decreased,White blood cell analyses,Haematology investigations (incl blood groups),Inv
Immune system disorder,Immune and associated conditions NEC,Immune disorders NEC,Immun
Lung disorder,Respiratory tract disorders NEC,Respiratory disorders NEC,Resp
Lymphopenia,Leukopenias NEC,White blood cell disorders,Blood
Cardiac malposition,Cardiac malpositions congenital,Cardiac and vascular disorders congenital,Cong
Congenital diaphragmatic anomaly,Diaphragmatic disorders congenital,Respiratory disorders congenital,Cong
Congenital hepatobiliary anomaly,Hepatobiliary abnormalities congenital,Hepatobiliary disorders congenital,Cong
Deformity thorax,Trunk deformities,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musc
Diaphragmatic aplasia,Diaphragmatic disorders congenital,Respiratory disorders congenital,Cong
Exomphalos,Gastrointestinal tract disorders congenital NEC,Gastrointestinal tract disorders congenital,Cong
Hepatic displacement,Hepatic and hepatobiliary disorders NEC,Hepatic and hepatobiliary disorders,Hepat
Microcephaly,Musculoskeletal and connective tissue disorders of skull congenital,Musculoskeletal and connective tissue disorders congenital,Cong
Cholelithiasis,Cholecystitis and cholelithiasis,Gallbladder disorders,Hepat
Gastrointestinal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastr
Central nervous system lesion,Nervous system disorders NEC,Neurological disorders NEC,Nerv
Pleocytosis,Neurological signs and symptoms NEC,Neurological disorders NEC,Nerv
Bradyphrenia,Thinking disturbances,Disturbances in thinking and perception,Psych
Memory impairment,Memory loss (excl dementia),Mental impairment disorders,Nerv
Paralysis,Paralysis and paresis (excl cranial nerve),Movement disorders (incl parkinsonism),Nerv
Drug intolerance,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
Ectopic pregnancy,Maternal complications of pregnancy NEC,Maternal complications of pregnancy,Preg
Pregnancy with implant contraceptive,Unintended pregnancies,"Pregnancy, labour, delivery and postpartum conditions",Preg
Blood electrolytes abnormal,Water and electrolyte analyses NEC,"Water, electrolyte and mineral investigations",Inv
Dysentery,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infec
Shigella infection,Shigella infections,Bacterial infectious disorders,Infec
Liver injury,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepat
Myelofibrosis,Myeloproliferative disorders (excl leukaemias),Haematopoietic neoplasms (excl leukaemias and lymphomas),Neopl
Neutrophil count decreased,White blood cell analyses,Haematology investigations (incl blood groups),Inv
Coronary artery disease,Coronary artery disorders NEC,Coronary artery disorders,Card
Vascular occlusion,Non-site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vasc
Malignant hypertension,Accelerated and malignant hypertension,Vascular hypertensive disorders,Vasc
Caesarean section,Obstetric therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surg
Central nervous system viral infection,Viral infections NEC,Viral infectious disorders,Infec
Neurological symptom,Neurological signs and symptoms NEC,Neurological disorders NEC,Nerv
Nodular regenerative hyperplasia,Hepatic fibrosis and cirrhosis,Hepatic and hepatobiliary disorders,Hepat
Oesophageal varices haemorrhage,Gastric and oesophageal haemorrhages,Gastrointestinal haemorrhages NEC,Gastr
Portal hypertension,Hepatic vascular disorders,Hepatic and hepatobiliary disorders,Hepat
Varices oesophageal,Oesophageal varices,Gastrointestinal vascular conditions,Gastr
Diarrhoea haemorrhagic,Diarrhoea (excl infective),Gastrointestinal motility and defaecation conditions,Gastr
Hyperparathyroidism,Hyperparathyroid disorders,Parathyroid gland disorders,Endo
Pericarditis,Noninfectious pericarditis,Pericardial disorders,Card
Left ventricular dysfunction,Myocardial disorders NEC,Myocardial disorders,Card
Aspartate aminotransferase increased,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Death,Death and sudden death,Fatal outcomes,Genrl
Castleman's disease,Lymphoproliferative disorders NEC (excl leukaemias and lymphomas),Haematopoietic neoplasms (excl leukaemias and lymphomas),Neopl
Eosinophilia,Eosinophilic disorders,White blood cell disorders,Blood
Hepatosplenomegaly,Hepatobiliary signs and symptoms,Hepatic and hepatobiliary disorders,Hepat
Pulmonary tuberculosis,Tuberculous infections,Mycobacterial infectious disorders,Infec
Affect lability,Affect alterations NEC,Mood disorders and disturbances NEC,Psych
Amnesia,Memory loss (excl dementia),Mental impairment disorders,Nerv
Aphasia,Cortical dysfunction NEC,Neurological disorders NEC,Nerv
CSF protein increased,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Inv
Disorientation,Confusion and disorientation,Deliria (incl confusion),Psych
Disturbance in attention,Mental impairment (excl dementia and memory loss),Mental impairment disorders,Nerv
